Friday,21,March,2025,15:18:41:10918-VCID:2F3CCDF65B1FE61226D-807B,VCDS Version: Release 25.3.0 (arm64),Data version: 20250311 DS365.0,,,,,,,,,
,15.3,1403,0,312,31.5,15.43,1403,1004.3,1113.2,98.8,15.17,1380,15,0.42,0
,15.7,1380,1.4,328,31.5,15.83,1403,1064.8,1089,96.9,15.56,1403,3,0,0
,16.1,1403,7.7,480,31.5,16.24,1403,1064.8,1089,96.9,15.97,1380,36,1.05,54
,16.51,1449,12.9,616,31.5,16.64,1449,1210,1101.1,96.5,16.38,1426,54,1.68,60
,16.88,1495,19.5,872,31.5,17,1518,1318.9,1137.4,94.9,16.76,1472,108,3.57,126
,17.27,1610,25.8,1224,31.5,17.41,1633,1500.4,1222.1,92.5,17.15,1564,156,5.25,168
,17.67,1748,30.5,1464,31.5,17.82,1771,1742.4,1343.1,90.6,17.54,1679,183,6.72,186
,18.07,1886,32.9,1568,31.5,18.2,1932,1609.3,1512.5,83.5,17.95,1840,213,8.61,222
,18.46,2024,23.3,1360,31.5,18.59,2047,1391.5,1573,52.5,18.32,1955,183,7.77,168
,18.84,2116,17.8,1088,31.5,18.97,2139,1246.3,1379.4,65.1,18.71,2070,129,5.88,117
,19.24,2162,10.2,752,31.5,19.38,2162,1137.4,1234.2,87.5,19.1,2162,75,3.78,63
,19.63,2162,4.1,576,31.5,19.77,2185,1101.1,1210,91,19.5,2162,48,2.31,33
,20.05,2162,1.1,440,31.5,20.18,2139,1052.7,1185.8,97.6,19.91,2162,21,1.05,9
,20.43,2116,0.5,360,31.5,20.58,2093,1040.6,1185.8,98,20.31,2139,0,0,0
,20.86,2047,0,368,31.5,20.99,2024,1028.5,1173.7,98,20.72,2070,0,0,0
,21.24,1955,0,360,31.5,21.36,1932,1016.4,1173.7,98.4,21.11,2001,0,0,0
,21.63,1633,0,352,31.5,21.77,1380,1004.3,1173.7,98.8,21.49,1886,0,0,0
,22.02,966,4.7,304,31.5,22.16,897,1016.4,1125.3,100,21.89,1150,0,0,0
,22.43,943,6.9,304,31.5,22.57,943,1016.4,1064.8,100,22.28,943,36,0.84,0
,22.82,989,7.7,312,32.4,22.94,1012,1016.4,1040.6,100,22.7,966,42,1.05,12
,23.19,1035,6.9,320,32.4,23.31,1035,1028.5,1028.5,100,23.07,1035,42,0.84,9
,23.58,1081,6.9,336,32.4,23.72,1081,1016.4,1028.5,100,23.46,1058,42,1.05,18
,23.98,1081,7.1,344,32.4,24.1,1081,1028.5,1028.5,100,23.85,1081,45,1.05,15
,24.35,966,6.6,320,32.4,24.48,966,1016.4,1028.5,100,24.23,989,36,0.84,0
,24.74,943,6.9,312,32.4,24.88,943,1016.4,1016.4,100,24.61,943,36,0.84,0
,25.13,943,6.9,320,32.4,25.27,920,1016.4,1004.3,100,25,920,42,1.05,0
,25.53,920,7.1,320,32.4,25.67,920,1004.3,1004.3,100,25.4,920,42,0.84,0
,25.94,920,6.6,320,32.4,26.07,897,1004.3,1004.3,100,25.81,920,39,0.84,0
,26.35,874,6.6,328,32.4,26.48,851,1004.3,1004.3,100,26.21,874,33,0.84,0
,26.77,1196,0.8,368,32.4,26.9,1012,1040.6,992.2,100,26.63,920,144,2.94,129
,27.15,1012,19.2,440,32.4,27.27,1058,1101.1,1016.4,100,27.02,989,87,1.89,72
,27.54,1081,20.6,576,32.4,27.67,1081,1137.4,1028.5,100,27.39,1058,129,2.94,123
,27.93,1058,26.4,624,32.4,28.05,1081,1222.1,1052.7,99.6,27.81,1058,141,3.36,129
,28.33,1035,30.7,696,32.4,28.45,1058,1403.6,1076.9,99.2,28.19,1058,168,3.99,156
,28.74,1288,28.8,824,32.4,28.86,1403,1415.7,1113.2,95.3,28.6,1196,186,5.04,186
,29.12,1541,25.5,912,33.3,29.24,1633,1367.3,1185.8,93.7,28.99,1472,171,5.46,153
,29.5,1748,25,1200,33.3,29.63,1817,1500.4,1306.8,91.4,29.37,1679,162,5.88,159
,29.91,2001,29.1,1656,33.3,30.05,2093,1778.7,1464.1,89,29.77,1909,177,7.14,177
,30.32,2300,32.1,1688,33.3,30.46,2415,1815,1730.3,70.2,30.18,2208,204,9.87,213
,30.72,2622,31.6,1656,33.3,30.86,2737,1851.3,1899.7,53.3,30.6,2530,207,11.34,204
,31.12,2990,34.3,1664,33.3,31.24,3059,1960.2,1911.8,52.9,30.99,2852,213,13.44,216
,31.5,3312,35.1,1688,33.3,31.64,3450,2020.7,2008.6,50.6,31.36,3197,219,15.54,222
,31.9,3657,34.3,1648,33.3,32.02,3749,1984.4,2081.2,43.5,31.77,3542,219,17.22,216
,32.27,3818,20,1328,33.3,32.4,3749,1161.6,1875.5,23.9,32.15,3818,186,16.17,189
,32.66,3266,0.8,624,33.3,32.8,2967,1089,1415.7,78.4,32.54,3542,9,0.84,0
,33.05,2415,12.6,472,33.3,33.18,2300,1379.4,1343.1,74.5,32.93,2668,0,0,0
,33.44,2116,18.1,1120,33.3,33.58,1932,1282.6,1415.7,63.1,33.3,2231,108,5.25,111
,33.85,1955,17,1008,33.3,33.99,1955,1282.6,1318.9,74.1,33.71,1955,102,4.41,108
,34.26,1955,17.3,1024,33.3,34.38,1932,1282.6,1258.4,79.2,34.12,1955,108,4.62,108
,34.66,1932,16.2,968,33.3,34.8,1932,1246.3,1246.3,80.4,34.52,1932,105,4.41,102
,35.08,1909,14.3,856,33.3,35.21,1909,1173.7,1234.2,76.9,34.94,1932,99,4.2,96
,35.46,1886,10.4,720,33.3,35.59,1863,1113.2,1210,74.9,35.33,1886,75,3.15,69
,35.86,1794,4.7,528,34.2,35.99,1771,1004.3,1173.7,98.8,35.72,1840,48,1.89,33
,36.26,1725,0,352,34.2,36.39,1679,1004.3,1149.5,98.8,36.13,1748,0,0,0
,36.66,1288,0,312,34.2,36.8,1058,1004.3,1137.4,100,36.53,1518,0,0,0
,37.08,920,4.9,272,34.2,37.21,920,1004.3,1089,100,36.94,920,30,0.63,0
,37.49,897,6,296,34.2,37.63,897,1004.3,1052.7,100,37.35,897,36,0.63,0
,37.88,897,6,296,34.2,38,897,1004.3,1028.5,100,37.75,897,30,0.84,0
,38.27,920,6.9,312,34.2,38.41,920,1016.4,1016.4,100,38.14,897,39,0.84,3
,38.69,943,6.9,304,34.2,38.82,943,1016.4,1016.4,100,38.55,943,36,0.84,9
,39.08,897,6.6,304,34.2,39.2,897,1040.6,1016.4,100,38.95,920,36,0.63,0
,39.45,1081,10.7,440,34.2,39.57,1104,1101.1,1016.4,100,39.32,1196,72,2.73,126
,39.83,1104,17.8,512,34.2,39.97,1173,1161.6,1040.6,100,39.69,1150,99,2.52,93
,40.25,1311,24.2,824,34.2,40.39,1426,1391.5,1076.9,94.9,40.11,1288,144,4.2,147
,40.67,1633,28,1240,34.2,40.81,1748,1524.6,1185.8,91.4,40.53,1541,171,5.67,183
,41.07,1932,27.2,1448,35.1,41.2,2024,1573,1355.2,89,40.95,1840,177,6.93,177
,41.46,2254,26.6,1608,35.1,41.6,2323,1681.9,1560.9,73.3,41.34,2139,168,7.77,168
,41.85,2553,26.9,1648,35.1,41.97,2622,1681.9,1718.2,55.3,41.73,2415,180,9.66,177
,42.23,2852,26.9,1552,35.1,42.35,2944,1681.9,1718.2,52.2,42.1,2737,168,10.29,168
,42.63,3105,18.9,1224,35.1,42.77,3105,1173.7,1669.8,40.4,42.49,3036,162,10.92,156
,43.05,2668,0.8,344,35.1,43.18,2392,1089,1403.6,96.1,42.91,2921,6,0.42,0
,43.44,1863,7.4,392,35.1,43.58,1725,1149.5,1331,69.8,43.32,2116,0,0,0
,43.85,1679,8.2,632,35.1,43.97,1633,1004.3,1234.2,98.8,43.71,1656,63,2.31,66
,44.24,1219,0.5,344,35.1,44.36,1058,1004.3,1161.6,100,44.11,1449,3,0,0
,44.64,897,6.3,288,35.1,44.77,920,1016.4,1101.1,100,44.49,920,33,0.84,0
,45.03,897,6.9,296,35.1,45.16,897,1004.3,1064.8,100,44.91,920,30,0.63,0
,45.44,897,6.3,304,35.1,45.56,897,1004.3,1040.6,100,45.3,897,39,0.63,0
,45.83,897,6,296,36,45.96,897,1004.3,1028.5,100,45.71,897,36,0.63,0
,46.23,897,6.3,304,36,46.36,897,1004.3,1016.4,100,46.09,897,39,0.84,0
,46.64,897,6,312,36,46.78,897,1004.3,1016.4,100,46.5,897,36,0.63,0
,47.06,897,6.9,312,36,47.2,897,1004.3,1004.3,100,46.92,897,39,0.84,0
,47.45,897,6.6,312,36,47.57,897,1004.3,1004.3,100,47.32,897,36,0.84,0
,47.82,874,7.1,312,36,47.94,874,1004.3,1004.3,100,47.7,897,39,0.63,0
,48.21,897,7.4,312,36,48.35,897,1004.3,1004.3,100,48.08,897,42,0.84,0
,48.62,897,6.9,320,36,48.76,897,1004.3,1004.3,100,48.49,897,39,0.84,0
,49.03,897,7.1,320,36,49.17,897,1004.3,1004.3,100,48.89,897,39,0.84,0
,49.44,897,6.9,328,36,49.57,874,1004.3,1004.3,100,49.3,897,39,0.84,0
,49.83,851,7.7,328,36,49.97,828,1004.3,992.2,100,49.69,851,39,0.63,0
,50.25,828,7.1,328,36,50.39,828,1004.3,992.2,100,50.11,828,39,0.63,0
,50.68,828,7.1,328,36.9,50.8,828,1004.3,992.2,100,50.54,828,39,0.63,0
,51.08,828,7.1,328,36.9,51.21,828,1004.3,992.2,100,50.94,828,39,0.84,0
,51.48,828,7.1,328,36.9,51.61,828,1004.3,992.2,100,51.34,828,39,0.84,0
,51.87,828,7.4,328,36.9,52,828,1004.3,992.2,100,51.75,828,39,0.84,0
,52.28,828,7.1,328,36.9,52.4,828,1004.3,992.2,100,52.14,828,42,0.84,0
,52.67,828,7.7,320,36.9,52.8,828,1004.3,992.2,100,52.53,828,42,0.84,0
,53.07,828,7.1,328,36.9,53.19,828,1004.3,992.2,100,52.94,828,42,0.84,0
,53.46,828,7.4,336,36.9,53.58,828,1004.3,992.2,100,53.31,828,39,0.84,0
,53.85,828,7.4,328,36.9,53.97,828,1004.3,992.2,100,53.71,828,42,0.84,0
,54.24,828,7.4,336,36.9,54.36,828,1004.3,992.2,100,54.11,828,42,0.84,0
,54.61,828,7.7,336,36.9,54.74,828,1004.3,992.2,100,54.49,828,42,0.84,0
,55,828,7.4,328,36.9,55.14,828,1004.3,992.2,100,54.86,828,42,0.84,0
,55.41,828,7.4,336,36.9,55.55,828,1004.3,992.2,100,55.27,828,39,0.84,0
,55.8,828,7.7,328,36.9,55.92,828,1004.3,992.2,100,55.68,828,42,0.84,0
,56.18,828,7.4,328,37.8,56.3,828,1004.3,992.2,100,56.05,828,42,0.84,0
,56.58,828,7.4,336,37.8,56.71,828,1004.3,992.2,100,56.44,828,42,0.84,0
,56.99,828,7.4,328,37.8,57.13,828,1004.3,992.2,100,56.84,828,42,0.84,0
,57.39,828,7.7,336,37.8,57.54,828,1004.3,992.2,100,57.26,828,39,0.84,0
,57.82,828,8,336,37.8,57.94,828,1004.3,992.2,100,57.68,828,42,0.84,0
,58.21,828,7.7,328,37.8,58.33,828,1004.3,992.2,100,58.08,828,39,0.84,0
,58.58,828,7.4,328,37.8,58.72,828,1004.3,992.2,100,58.46,828,42,0.84,0
,58.97,828,7.4,328,37.8,59.11,828,1004.3,992.2,100,58.85,828,39,0.84,0
,59.38,828,7.4,336,37.8,59.51,828,1004.3,992.2,100,59.24,828,42,0.84,0
,59.78,828,7.4,336,37.8,59.91,828,1004.3,992.2,100,59.65,828,42,0.84,0
,60.18,828,7.4,336,37.8,60.31,828,1004.3,992.2,100,60.05,828,42,0.84,0
,60.56,828,7.7,328,37.8,60.69,828,1004.3,992.2,100,60.43,828,39,0.84,0
,60.96,828,7.4,328,37.8,61.09,828,1004.3,992.2,100,60.83,828,42,0.84,0
,61.38,828,7.4,328,37.8,61.5,828,1004.3,992.2,100,61.24,828,39,0.84,0
,61.77,828,7.4,328,37.8,61.9,828,1004.3,992.2,100,61.64,828,42,0.84,0
,62.14,828,7.4,336,37.8,62.28,828,1004.3,992.2,100,62.02,828,42,0.84,0
,62.53,828,7.4,336,37.8,62.68,828,1004.3,992.2,100,62.41,828,42,0.84,0
,62.94,828,7.4,344,37.8,63.06,828,1004.3,992.2,100,62.82,828,42,0.84,0
,63.33,828,7.4,336,37.8,63.46,828,1004.3,992.2,100,63.19,828,42,0.84,0
,63.71,1357,1.6,576,38.7,63.83,1173,1004.3,980.1,100,63.58,989,153,3.15,258
,64.1,782,9.6,368,38.7,64.24,828,1004.3,1016.4,100,63.96,943,0,0,0
,64.49,851,6.6,328,38.7,64.61,851,1004.3,1004.3,100,64.36,874,36,0.63,0
,64.87,851,6,328,38.7,65,851,1004.3,1004.3,100,64.74,851,33,0.63,0
,65.28,851,6,328,38.7,65.4,828,1004.3,992.2,100,65.14,851,33,0.63,0
,65.68,828,6.6,320,38.7,65.81,828,1004.3,992.2,100,65.53,828,36,0.63,0
,66.07,828,6.3,328,38.7,66.19,828,1004.3,992.2,100,65.94,828,33,0.63,0
,66.46,828,6.9,328,38.7,66.58,828,1004.3,992.2,100,66.32,828,36,0.63,0
,66.84,828,6.6,328,38.7,66.98,828,1004.3,992.2,100,66.72,828,36,0.63,0
,67.23,828,6.9,328,38.7,67.35,828,1004.3,992.2,100,67.1,828,36,0.63,0
,67.61,828,6.9,328,38.7,67.75,828,1004.3,992.2,100,67.47,828,36,0.63,0
,68.02,828,6.9,328,38.7,68.14,828,1004.3,992.2,100,67.89,828,39,0.63,0
,68.41,828,15.9,328,38.7,68.55,1150,1415.7,980.1,99.6,68.29,828,39,0.63,0
,68.81,1035,0,376,38.7,68.96,759,1004.3,1004.3,100,68.68,1265,3,0,57
,69.24,851,25.3,384,38.7,69.38,1104,1064.8,1004.3,100,69.09,690,81,1.26,9
,69.66,1150,18.1,560,38.7,69.8,1265,1101.1,1016.4,98.4,69.52,1081,105,2.31,90
,70.08,1334,21.4,696,38.7,70.21,1334,1210,1052.7,96.9,69.94,1265,111,2.94,93
,70.45,1242,23.3,768,38.7,70.58,1173,1270.5,1113.2,100,70.34,1288,135,3.78,123
,70.86,1173,28.5,784,38.7,71,1150,1343.1,1161.6,100,70.72,1173,171,4.62,171
,71.28,1311,39,920,38.7,71.41,1449,1766.6,1197.9,91.8,71.14,1173,228,6.09,225
,71.69,1702,38.2,1496,38.7,71.82,1863,1827.1,1367.3,89.8,71.53,1564,252,8.82,252
,72.08,2070,35.4,1656,38.7,72.22,2139,1730.3,1645.6,75.3,71.94,1978,240,10.29,240
,72.48,2392,31.8,1720,38.7,72.62,2507,1802.9,1827.1,59.6,72.35,2277,201,9.87,192
,72.91,2806,34,1696,38.7,73.05,2921,1923.9,1911.8,54.1,72.77,2668,207,12.18,213
,73.3,3174,38.4,1752,38.7,73.43,3335,2214.3,2057,51,73.18,3059,228,15.54,243
,73.67,3634,42.3,1784,39.6,73.82,3864,2202.2,2165.9,40,73.55,3496,261,20.16,276
,74.08,4186,45.8,1808,39.6,74.21,4301,2032.8,2105.4,34.1,73.96,4048,291,26.67,303
,74.47,4485,26.1,1648,39.6,74.6,4393,1089,1923.9,52.2,74.33,4416,246,24.99,243
,74.88,3818,1.1,760,39.6,75.02,3473,1089,1476.2,67.5,74.74,4186,9,0.84,0
,75.28,2760,39.5,560,39.6,75.42,2392,2444.2,1573,81.2,75.14,3036,21,0.42,0
,75.71,2599,47.2,1312,39.6,75.85,2668,2347.4,2250.6,61.2,75.56,2553,303,17.01,318
,76.11,2852,58.2,1760,39.6,76.25,2944,2444.2,2528.9,31.8,75.97,2737,306,18.48,297
,76.5,3151,67.3,1776,39.6,76.64,3243,2383.7,2480.5,27.1,76.38,3059,399,27.72,519
,76.93,3450,69.5,1768,39.6,77.07,3565,2323.2,2407.9,21.2,76.78,3381,408,32.34,414
,77.32,3749,64.8,1800,39.6,77.44,3818,2274.8,2311.1,18.8,77.19,3657,393,34.23,411
,77.72,3979,62,1808,39.6,77.86,4048,2202.2,2202.2,17.6,77.58,3887,369,34.23,504
,78.14,4209,57.4,1808,39.6,78.28,4278,2117.5,2117.5,18.8,78,4117,354,34.02,456
,78.55,4255,20.9,1584,39.6,78.68,4163,1089,1948.1,55.3,78.42,4301,267,28.14,240
,78.93,3703,0.8,648,39.6,79.05,3381,1089,1609.3,69.4,78.8,3933,9,0.84,0
,79.31,2875,12.1,528,39.6,79.46,2691,1439.9,1512.5,62.7,79.18,3105,0,0,0
,79.72,2714,26.4,1312,39.6,79.87,2737,1754.5,1633.5,63.5,79.58,2714,147,8.82,162
,80.11,2760,35.1,1664,39.6,80.24,2760,2214.3,1875.5,77.6,79.99,2737,198,12.18,216
,80.49,2806,44.7,1680,39.6,80.61,2829,2359.5,2335.3,51.4,80.37,2783,264,16.38,276
,80.88,2875,49.1,1696,40.5,81,2898,2383.7,2528.9,40.8,80.75,2852,306,19.32,312
,81.27,2967,57.9,1728,40.5,81.41,3013,2432.1,2528.9,30.2,81.15,2944,333,21.84,339
,81.69,3105,67.8,1744,40.5,81.83,3151,2407.9,2516.8,25.5,81.55,3059,405,28.56,492
,82.09,3220,69.2,1744,40.5,82.24,3266,2383.7,2492.6,21.6,81.95,3174,414,30.66,516
,82.51,3312,56,1776,40.5,82.63,3335,2202.2,2407.9,22.4,82.38,3289,399,30.45,372
,82.88,3312,24.7,1352,40.5,83.02,3197,1089,1948.1,74.1,82.76,3335,246,18.69,225
,83.28,2714,0.5,616,40.5,83.43,2415,1089,1548.8,96.1,83.16,2967,6,0.42,0
,83.7,2254,0,384,40.5,83.84,2254,1064.8,1464.1,97.6,83.56,2254,0,0,0
,84.13,2231,0,368,40.5,84.25,2208,1064.8,1427.8,97.6,83.99,2231,0,0,0
,84.52,2185,0,368,41.4,84.66,2185,1052.7,1403.6,97.6,84.38,2208,0,0,0
,84.93,2162,0,376,41.4,85.07,2162,1052.7,1379.4,97.6,84.8,2185,0,0,0
,85.33,2139,0,376,41.4,85.46,2116,1040.6,1367.3,97.6,85.19,2139,0,0,0
,85.71,2093,0.5,400,41.4,85.83,2093,1052.7,1355.2,95.3,85.59,2116,0,0,0
,86.08,2070,4.9,584,41.4,86.22,2070,1137.4,1355.2,87.5,85.96,2093,15,0.63,12
,86.47,2047,11,824,41.4,86.61,2070,1197.9,1355.2,67.1,86.35,2093,51,2.31,54
,86.91,2070,17.8,1096,42.3,87.04,2070,1476.2,1306.8,85.1,86.77,2070,90,4.2,87
,87.3,2047,20.6,1376,42.3,87.44,2047,1306.8,1415.7,62.4,87.18,2047,159,6.93,159
,87.7,2047,19.2,1256,42.3,87.82,2047,1379.4,1391.5,68.6,87.57,2047,114,5.04,105
,88.08,2047,23.3,1456,42.3,88.22,2047,1536.7,1403.6,81.2,87.94,2047,138,6.09,138
,88.49,2070,25,1496,42.3,88.61,2070,1548.8,1488.3,74.1,88.36,2070,159,7.14,162
,88.88,2070,25.3,1472,43.2,89.02,2070,1778.7,1560.9,89.8,88.74,2047,165,7.35,162
,89.28,2093,40.6,1696,43.2,89.41,2093,2214.3,1802.9,87.1,89.15,2093,240,10.5,243
,89.66,2093,39.3,1664,43.2,89.8,2116,1911.8,2093.3,59.6,89.54,2093,261,12.18,264
,90.07,2116,28.8,1552,43.2,90.21,2116,1573,1839.2,42.4,89.94,2116,204,9.45,204
,90.47,2116,23.1,1376,43.2,90.6,2116,1452,1488.3,56.1,90.33,2116,159,7.35,156
,90.85,2116,20.9,1280,43.2,90.98,2139,1391.5,1355.2,64.7,90.72,2116,135,6.3,135
,91.27,2116,14.3,1048,44.1,91.41,2116,1149.5,1306.8,60,91.13,2116,123,5.67,126
,91.69,2070,0.3,464,44.1,91.83,2093,1040.6,1246.3,98,91.55,2093,33,1.68,21
,92.11,2070,0,376,44.1,92.24,2070,1040.6,1246.3,98,91.97,2093,0,0,0
,92.51,2047,0.8,384,44.1,92.63,2047,1064.8,1258.4,93.7,92.38,2070,0,0,0
,92.88,2047,3.6,528,44.1,93,2024,1076.9,1282.6,89,92.76,2047,15,0.63,15
,93.29,2024,6.9,680,44.1,93.41,2024,1125.3,1306.8,87.5,93.14,2024,30,1.47,30
,93.68,2001,8.2,760,45,93.81,2024,1149.5,1331,69.4,93.55,2024,51,2.31,48
,94.07,2001,12.4,888,45,94.19,2001,1234.2,1294.7,74.1,93.95,2001,69,2.94,69
,94.47,2001,14.3,952,45,94.61,2001,1270.5,1270.5,76.5,94.33,2001,87,3.78,87
,94.89,2001,17.6,1152,45,95.02,2001,1318.9,1294.7,75.7,94.76,2001,108,4.62,105
,95.28,2001,21.1,1352,45,95.42,2001,1476.2,1331,83.9,95.15,2001,120,5.04,117
,95.7,2024,24.4,1480,45.9,95.85,2001,1609.3,1439.9,87.1,95.56,2001,153,6.51,153
,96.11,2024,32.7,1656,45.9,96.25,2024,2008.6,1621.4,89.8,95.99,2024,192,8.4,201
,96.52,2070,43.9,1744,45.9,96.65,2070,2311.1,1923.9,86.3,96.38,2047,261,11.55,276
,96.91,2093,43.4,1744,45.9,97.05,2093,1694,2299,34.9,96.78,2070,303,13.65,303
,97.3,2070,17.3,1224,45.9,97.44,2093,1149.5,1706.1,44.3,97.18,2093,159,7.35,168
,97.72,2047,3.3,592,45.9,97.86,2070,1064.8,1355.2,94.5,97.58,2070,45,2.1,30
,98.13,2047,0.3,392,45.9,98.26,2047,1040.6,1294.7,98,98,2070,3,0.21,0
,98.51,2024,0,368,46.8,98.62,2024,1028.5,1270.5,98,98.38,2047,0,0,0
,98.91,2024,0,376,46.8,99.04,2001,1028.5,1270.5,98,98.78,2024,0,0,0
,99.32,1978,0,376,46.8,99.44,1978,1028.5,1258.4,97.3,99.17,2001,0,0,0
,99.71,1978,1.9,456,46.8,99.83,1955,1052.7,1258.4,92.2,99.58,1978,6,0.21,9
,100.1,1955,5.5,544,46.8,100.22,1955,1101.1,1270.5,88.2,99.97,1955,24,1.05,24
,100.49,1932,6.9,672,46.8,100.61,1932,1101.1,1294.7,88.2,100.35,1955,39,1.68,39
,100.88,1932,0.8,416,46.8,101.02,1909,1016.4,1270.5,98.4,100.74,1909,27,1.26,30
,101.29,1909,0,384,47.7,101.43,1886,1016.4,1234.2,98.4,101.16,1909,0,0,0
,101.67,1886,0,376,47.7,101.81,1863,1016.4,1222.1,98.4,101.55,1886,0,0,0
,102.08,1863,0,368,47.7,102.21,1840,1016.4,1210,98.8,101.95,1863,0,0,0
,102.47,1472,0,352,47.7,102.6,1288,1028.5,1197.9,99.2,102.33,1702,0,0,0
,102.86,1495,1.4,488,47.7,103,1495,1004.3,1173.7,98.8,102.72,1426,84,2.52,108
,103.28,1817,0,384,47.7,103.42,2024,1028.5,1149.5,98,103.14,1633,0,0,0
,103.66,2415,0,384,47.7,103.81,2415,1076.9,1173.7,96.1,103.54,2208,0,0,0
,104.08,2392,0,400,47.7,104.21,2392,1076.9,1258.4,96.5,103.95,2415,0,0,0
,104.47,2369,0,408,47.7,104.6,2346,1076.9,1294.7,96.9,104.34,2369,0,0,0
,104.86,2323,0,424,48.6,105,2300,1076.9,1306.8,96.9,104.72,2323,0,0,0
